Sample_Name,Sample_Project,Amount,Microbiome,Category.,X,Sample,Highest.Dose.,Further.Dilutions.,fq1,fq2,Rep,Sample_Abbrv
BetaVia-20-K10-1,KeminCaninePartThree,20,K10,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-20-K10-1_L001_R1_001.fastq.gz,BetaVia-20-K10-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-20-K10-2,KeminCaninePartTwo,20,K10,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-20-K10-2_L001_R1_001.fastq.gz,BetaVia-20-K10-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-20-K10-3,KeminCaninePartOne,20,K10,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-20-K10-3_L001_R1_001.fastq.gz,BetaVia-20-K10-3_L001_R2_001.fastq.gz,3,BetaVia
BetaVia-20-K3-1,KeminCaninePartTwo,20,K3,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-20-K3-1_L001_R1_001.fastq.gz,BetaVia-20-K3-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-20-K3-2,KeminCaninePartThree,20,K3,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-20-K3-2_L001_R1_001.fastq.gz,BetaVia-20-K3-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-20-K3-3,KeminCaninePartOne,20,K3,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-20-K3-3_L001_R1_001.fastq.gz,BetaVia-20-K3-3_L001_R2_001.fastq.gz,3,BetaVia
BetaVia-20-K5-1,KeminCaninePartThree,20,K5,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-20-K5-1_L001_R1_001.fastq.gz,BetaVia-20-K5-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-20-K5-2,KeminCaninePartOne,20,K5,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-20-K5-2_L001_R1_001.fastq.gz,BetaVia-20-K5-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-20-K5-3,KeminCaninePartTwo,20,K5,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-20-K5-3_L001_R1_001.fastq.gz,BetaVia-20-K5-3_L001_R2_001.fastq.gz,3,BetaVia
BetaVia-20-K7-1,KeminCaninePartThree,20,K7,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-20-K7-1_L001_R1_001.fastq.gz,BetaVia-20-K7-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-20-K7-2,KeminCaninePartTwo,20,K7,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-20-K7-2_L001_R1_001.fastq.gz,BetaVia-20-K7-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-20-K7-3,KeminCaninePartOne,20,K7,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-20-K7-3_L001_R1_001.fastq.gz,BetaVia-20-K7-3_L001_R2_001.fastq.gz,3,BetaVia
BetaVia-5-K10-1,KeminCaninePartThree,5,K10,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-5-K10-1_L001_R1_001.fastq.gz,BetaVia-5-K10-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-5-K10-2,KeminCaninePartOne,5,K10,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-5-K10-2_L001_R1_001.fastq.gz,BetaVia-5-K10-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-5-K10-3,KeminCaninePartTwo,5,K10,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-5-K10-3_L001_R1_001.fastq.gz,BetaVia-5-K10-3_L001_R2_001.fastq.gz,3,BetaVia
BetaVia-5-K3-1,KeminCaninePartOne,5,K3,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-5-K3-1_L001_R1_001.fastq.gz,BetaVia-5-K3-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-5-K3-2,KeminCaninePartTwo,5,K3,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-5-K3-2_L001_R1_001.fastq.gz,BetaVia-5-K3-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-5-K3-3,KeminCaninePartThree,5,K3,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-5-K3-3_L001_R1_001.fastq.gz,BetaVia-5-K3-3_L001_R2_001.fastq.gz,3,BetaVia
BetaVia-5-K5-1,KeminCaninePartThree,5,K5,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-5-K5-1_L001_R1_001.fastq.gz,BetaVia-5-K5-1_L001_R2_001.fastq.gz,1,BetaVia
